348675,
1.83824e+06,
3.63636e+06,
7.5188e+06,
1.44928e+07,
3.06513e+07,
6.47773e+07,
1.19403e+08,
2.21453e+08,
4.3686e+08,
7.61905e+08,
1.11304e+09,
1.59502e+09,
2.09407e+09,
2.91946e+09,
3.29393e+09,
3.54019e+09,
3.08173e+09,
4.3241e+09,
4.8293e+09,
5.1186e+09,
5.24792e+09,
5.18522e+09,
5.08535e+09,
4.97579e+09,
4.96956e+09,
