603865,
1.29199e+06,
3.34448e+06,
6.30915e+06,
1.42349e+07,
2.68456e+07,
5.55556e+07,
1.03896e+08,
1.98142e+08,
4.15584e+08,
7.68769e+08,
1.24272e+09,
1.97683e+09,
2.1157e+09,
3.00514e+09,
3.22013e+09,
3.72025e+09,
4.3184e+09,
5.78991e+09,
6.54575e+09,
7.01764e+09,
7.09197e+09,
6.64514e+09,
5.74216e+09,
5.4237e+09,
5.18293e+09,
